url,character,full_description,clothing_description
https://starwars.fandom.com/wiki,Atris,"
Atris' Jedi historian robes are very similar in design to [[Jocasta Nu/Legends|Jocasta Nu's]], another Jedi librarian; the difference being that Atris wears white&lt;ref name","
Atris' Jedi historian robes"
https://starwars.fandom.com/wiki,Chanchaz Iryt,"
Iryt had his race's short stature and dense structure caused by the high gravity of his home [[Planet/Legends|planet]], [[Kaump III]]. He also had the characteristic short limbs and flat face of his people. He preferred clothes which accented his strength and attitude, preferring to wear leather garments with studs and spikes.

",clothes which accented his strength and attitude leather garments studs and spikes
https://starwars.fandom.com/wiki,Unidentified Mandalorian police captain (Mandalore),"
The Mandalorian captain looked much like standard officers, wearing grey clothing underneath light body armor. He had a yellow insignia on his left shoulder and his helmet bore two small crests on top. His visor, unlike most officers', did not consist of two sections for the eyes. Rather, it was one large slit that covered both.

",grey clothing light body armor a yellow insignia on his left shoulder and his helmet bore two small crests on top His visor the eyes
https://yugioh.fandom.com/wiki,Jaden Yuki,"
[[File:Judai Linework.jpg|thumbnail|180px|left|Jaden's design incorporates multiple layers of clothing and a wide range of expressions. Depicted here is the [[Duelist]] in full [[Slifer Red]] regalia from front, side, and rear alongside views of his head from different angles.]]
Jaden's usual outfit consists of the standard [[Slifer Red]] uniform, unbuttoned, and a black shirt underneath. A [[Main Deck|Deck]] box is strapped above his waistline, largely hidden beneath the lower rim of his jacket. In the first episode he is seen wearing a high school uniform similar to the one worn by [[Yugi Muto]], though colored black instead of blue. He also wore a KaibaCorp Duel Disk on his left arm for his entrance exam Duel. His brown eyes are positioned directly beneath the bangs of the layer closest to his face. After joining Duel Academy, he carries an [[Academia Disk|Academy-issued Duel Disk]] on his left arm.

[[File:Jaden first season.png|left|thumb|275x275px|Jaden as seen in the first three seasons.]]
[[File:Jaden (Yubel's Eyes).png|left|thumb|174x174px|Jaden as seen in the fourth season with Yubel's eyes.]]
In the fourth season, Jaden is seen with his new look, but he is still easy to identify from the past seasons. He comes back a bit taller, with longer hair, a longer, darker Slifer Red jacket, darker jeans and, since he fused his soul with Yubel in the third season, occasionally manifesting its power to protect himself in the form of his eyes glowing the same bichromatic scheme Yubel's did. His eyes have also been redesigned. His Duel Disk is now fully customized with red outlines on it representing his dorm, though otherwise it looks the same (although the difference is very noticeable).

","clothing and regalia from front, side, Jaden's usual outfit uniform, unbuttoned, and a black shirt underneath his jacket a high school uniform similar to the one worn by [[Yugi Muto His brown eyes the bangs of the layer Yubel's eyes longer hair, a longer, darker Slifer Red jacket, darker jeans and his eyes His eyes"
https://yugioh.fandom.com/wiki,Yugi Muto,"
[[File:Yugi Linework.jpg|180px|thumb|left|Yugi's design incorporates multiple layers of clothing and a wide range of expressions. Depicted here is the character in the full Domino School boy's regalia from front, side, and rear views and alongside views of his head from different angles.]]

Yugi's character design was overseen by [[Kazuki Takahashi]]. His normal outfit consists of the standard male Domino Junior/Senior High uniform complete with a closed buckled collar. His extremely extravagant hair features multiple layers including long blond crooked, pointy locks for his fringe; the rest features a set of five large spikes and two smaller spikes colored black with a magenta sheen along the edges. So far, he is the only character in the franchise to have his hair divided into three colors. He wears the [[Millennium Puzzle]] on a lace around his neck. The lace is later replaced with a chain. He often wears a [[Duel Disk 2|KaibaCorp Duel Disk]] on his left arm.

When he played ''Dungeon Dice Monsters'' against [[Duke Devlin]], he wore a black long-sleeved shirt, a gray sleeveless vest, dark blue pants, and black shoes.

When he and [[Téa Gardner|Téa]] took a day together to find out about the [[Millennium Puzzle]], he wore a black linen shirt and several pieces of wrist-chains, along with a pair of leather pants.

In ''[[Yu-Gi-Oh! Capsule Monsters]]'', Yugi wore a different attire of a violet jacket and jeans. He also wore the [[Capsule Shooter]] on his left arm. In Episode 4, he gained a Duel armor that allowed him to become one with one of his capsule monsters.

In ''[[Yu-Gi-Oh! GX]]'', Yugi went through noticeable development. While physically resembling Atem, he is much taller and has a lean-built frame. During this time, Yugi's present-day eyes are not directly shown.

","clothing and the full Domino School boy's regalia His normal outfit the standard male Domino Junior/Senior High uniform a closed buckled collar His extremely extravagant hair his fringe five large spikes and two smaller spikes colored black with a magenta sheen along the edges his hair a lace around his neck The lace a chain a black long-sleeved shirt, a gray sleeveless vest, dark blue pants, and black shoes a black linen shirt and several pieces of wrist-chains leather pants a different attire of a violet jacket and jeans a Duel armor that allowed him to become one with one of his capsule monsters Yugi's present-day eyes"
https://yugioh.fandom.com/wiki,Yami Yugi,"
[[File:Img_show.aspx.jpeg|thumb|left|Yami Yugi lineart]] Yugi's character design was overseen by [[Kazuki Takahashi]].

As he exists in Yugi's body, his appearance is largely the same as Yugi's, although many alterations are made when Yami takes control, such as his eyes. However, Yami Yugi has a more mature appearance, being taller in stature and having a deeper voice in the dub. In the Japanese version, though, very little change can be detected in Yugi and Yami Yugi's voice. His eyes are also narrower with a more intense, determined gaze. He also appears more muscular.

Yami Yugi's hair features multiple layers including long blond crocked, pointy locks for his fringe. Unlike Yugi, some of the blond locks jut upwards. The rest of his hair features five large spikes colored black with red (with a hint of magenta) rims all along the edges. The spikes were loose and free flowing at the beginning of the manga, but over time became stiffer.

In many illustrations Yami Yugi is depicted having purple eyes like Yugi. But in some of the cover pictures of the ''[[Yu-Gi-Oh! (manga)|Yu-Gi-Oh!]]'' manga, he is depicted having aqua green colored eyes.

At the beginning of the series, his outfit consists of the standard male Domino High uniform complete with a closed buckled collar and a large set of Ankh cufflinks on his sleeves, which weren't present when Yugi was in control. Underneath the male Domino High uniform he wears a dark blue or purple leather jacket with gold-studded buttons, replaced by a simple dark grey singlet during [[Battle City|Battle City Tournament]] story arc. It is also noted that his uniform becomes a darker shade of blue when Yami Yugi assumes control. Also, during Duelist Kingdom, Yugi's blue and white sneakers would turn into solid blue boot-like shoes when Yami takes control. The Ankhs were later removed. Unlike Yugi, Yami Yugi sometimes wears the jacket as a cape, which could be because of actually wearing one when he was Pharaoh.

He wears the Millennium Puzzle on a brown leather rope around his neck. The leather rope is later replaced with a chain.

[[File:Yami Yugi S01.png|thumb|231x231px|Yami Yugi's dark purple leather jacket as worn in the ''Duelist Kingdom'' arc. It is replaced by simpler dark grey singlet during and after the ''Battle City Tournament'']] When he played Dungeon Dice Monsters against [[Duke Devlin]], he wears a dark-gray long-sleeved shirt, a sleeveless vest, dark blue pants and black shoes.
When he and [[Téa Gardner|Téa]] took a day together to find out about the Millennium Puzzle, he wore black linen and several pieces of wrist-chains, to match the Millennium Puzzle's chain.

In [[Yu-Gi-Oh! Capsule Monsters]], Yami wears a different attire of a violet jacket and jeans. He also wears the [[Capsule Shooter]] on his left arm. In episode 4, he gains Duel armor that allows him to become one with one of his capsule monsters.

","his eyes His eyes Yami Yugi's hair his fringe his hair five large spikes colored black with red (with a hint of magenta) The spikes purple eyes like Yugi cover green colored eyes his outfit the standard male Domino High uniform a closed buckled collar and a large set of Ankh his sleeves, which weren't present when Yugi was in control the male Domino High uniform purple leather jacket with gold-studded buttons his uniform Yugi's blue and white sneakers solid blue boot-like shoes the jacket a cape, which could be because of actually wearing one when he was Pharaoh a brown leather rope around his neck The leather rope a chain S01.png|thumb|231x231px|Yami Yugi's dark purple leather jacket as worn in the ''Duelist Kingdom'' arc a dark-gray long-sleeved shirt, a sleeveless vest, dark blue pants and black shoes wrist-chains the Millennium Puzzle's chain a different attire of a violet jacket and jeans Duel armor that allows him to become one with one of his capsule monsters"
https://yugioh.fandom.com/wiki,Seto Kaiba,"
[[File:Kaiba Linework.jpg|thumb|left|Kaiba's design incorporates multiple layers of clothing and a wide range of expressions. Depicted here is the [[Duelist]] in the outfit he wears in the [[Battle City]] arc from front, side, and rear views and alongside views of his head from different angles.]]

Kaiba's character design was overseen by [[Kazuki Takahashi]]. His usual outfit from the [[Yu-Gi-Oh! (anime)|second series anime]] (starting in [[Yu-Gi-Oh! - Episode 054|episode 54]]) consists of a long white sleeveless [[KaibaCorp]]-designed coat featuring shoulder pads and a raised studded collar, with black sleeves from his shirt coming out from under. He has extra belts in pairs strapped around his upper arms and shins. He often wears a [[KC mass production Disk|KaibaCorp Duel Disk]] on his left arm.

In his initial appearance and his first loss to [[Yami Yugi]], he wears a blue standard Domino High School uniform.

During the events of the Duelist Kingdom arc (starting in [[Yu-Gi-Oh! - Episode 008|episode 8]]), he wears a long indigo blue trenchcoat with a dark teal long sleeved button shirt with an extended collar, a matching pants with a white belt on his waist and black shoes. He later wears this outfit during the events of the Legendary Heroes arc (lastly in [[Yu-Gi-Oh! - Episode 045|episode 45]]). A flashback in [[Yu-Gi-Oh! - Episode 102|episode 102]] (set before the beginning of the series) shows him wearing his indigo outfit when he rejects [[Crump]]'s proposition for a penguin theme park and forced [[Nezbitt]] to destroy his lab.

In [[Yu-Gi-Oh! - Episode 052|episode 52]], in which he meets [[Ishizu Ishtar]] and gains ""[[Obelisk the Tormentor (anime)|Obelisk the Tormentor]]"", his long trenchcoat becomes purple and his teal button shirt and pants are replaced with a black turtleneck and matching pants and dons a steel wristbands in both of his wrist. He wears his purple outfit again for his first few appearances in the Doma arc (including when he gains ""[[Fang of Critias|The Fang of Critias]]""), from [[Yu-Gi-Oh! - Episode 145|episode 145]] to [[Yu-Gi-Oh! - Episode 159|episode 159]], before returning to his standard outfit in [[Yu-Gi-Oh! - Episode 165|episode 165]]. 

In the [[Yu-Gi-Oh! (Toei anime)|first series anime]], Kaiba has green hair, while in the manga, Toei's ''Yu-Gi-Oh!'' movie, and the second series, ''Yu-Gi-Oh! Duel Monsters'', Kaiba has brown hair with bangs down to the top of his eyes and a hairline at the base of the neck. Kaiba's character design in ''[[Yu-Gi-Oh! GX]]'' anime is nearly identical to his original appearance, although his facial structure is changed subtly.

","clothing and the outfit His usual outfit from the [[Yu-Gi-Oh! (anime)|second series anime]] (starting in [[Yu-Gi-Oh! - Episode 054|episode 54]]) [[KaibaCorp]]-designed coat featuring shoulder pads and a raised studded collar, with black sleeves from his shirt coming out from under. extra belts in pairs strapped around his upper arms and shins a blue standard Domino High School uniform button shirt an extended collar, a matching pants with a white belt on his waist and black shoes this outfit his indigo outfit his teal button shirt and pants a black turtleneck and matching pants a steel wristbands in both of his wrist his purple outfit his standard outfit green hair brown hair with bangs the top of his eyes and a hairline at the base of the neck"
https://yugioh.fandom.com/wiki,Bakura Ryou,"
[[File:Ryou design.jpg|thumb|left|200px|Bakura's expression sheet]]
Bakura's character design was overseen by [[Kazuki Takahashi]].

In the [[Duelist Kingdom]] arc, he wears a white wool sweater and green undershirt. His usual outfit in following seasons consists of a blue opened shirt over a light blue and white horizontally striped t-shirt. Bakura has brown eyes and white hair. His hair is pointed downwards in various directions and trails half way down his back. He wears the [[Millennium Ring]] on a lace around his neck. In the manga, during the Ceremonial Battle, he wore a different white t-shirt. Bakura is fair-skinned.

&lt;br /&gt;

",a white wool sweater and green undershirt His usual outfit in following seasons a blue opened shirt t-shirt brown eyes and white hair His hair a lace around his neck a different white t-shirt
https://yugioh.fandom.com/wiki,Vivian Wong,"
Vivian wears a signature Chinese yellow dress and bracelets on her wrists. Red high heels adorned her bare feet and her hair is put in two buns.

",Chinese yellow dress and bracelets on her wrists Red high heels her hair
https://yugioh.fandom.com/wiki,Téa Gardner,"
[[File:Anzu Linework.jpg|150px|thumb|left|Téa's design incorporates multiple layers of clothing and a wide range of expressions. Depicted here is the character in her Duelist Kingdom clothing, from the anime, from front, side, and rear views and alongside views of her head from different angles.]]

Téa's character design was overseen by [[Kazuki Takahashi]].

In the manga, Anzu originally had a conventional, short hairstyle. Her first color image, seen in [[Yu-Gi-Oh! - Duel 001|Duel 1]], featured dark brown hair and amber eyes. As Takahashi continued drawing the manga, Anzu gained more feminine and cute facial features. Her hair style became longer and less conventional. Color images from Volume 3 and onward portray her hair as a lighter brown color. Sometimes her eyes are blue and sometimes they are reddish brown. By the final volume of the manga, Anzu's hair touches her shoulders. Anzu's usual outfit is the standard female Domino High School uniform, consising of a pink coat, a white oxford shirt, a blue tie, and a blue pleated skirt, though she does not stick to any usual casual outfit and wears several throughout the series.

In the first series anime, her hair and eyes are of a reddish brown color. Her school uniform color differs; her coat is orange and her tie and skirt are green. In the amusement park episode, she wore a light-green bikini.

In the second series anime, she has brown hair and blue eyes. On occasions she wore the school uniform colored in the same manner as in the manga. Her brown shoulder-length hair is sectioned into two layers, consisting of a darker shade of brown inner layer, with the outer layer of a lighter shade.

During the first season of the anime, her usual outfit is comprised of a yellow shirt, which flows like a skirt at her thighs, with a pink waistcoat over it, and a blue miniskirt. A pair of brown knee-high boots completed her ensemble.[[File:Téa Gardner.jpg|100px|thumb|Téa Gardner during the Battle City and Virtual World arcs.|right]]In the second and third season, her clothes consists of a light green sleeveless buttoned shirt with yellow collar, pink and blue bracelets, navy shorts with a light blue belt, white thigh-high socks, and blue strapped platform sandals. Prior to being held captive by the Rare Hunters, she also possessed a light yellow handbag. She also wears a yellow tank-top with the word ""SPIRIT"" on it (which was removed from the dub) and a red skirt on occasion in the second season.

She also wears another outfit: a yellow tube-top, red choker, light pink shorts, black thigh-high socks, red platform sandals, and a pink jacket. In the fourth and fifth season she wears a black sleeveless shirt that reveals her belly button, a red skirt and a pair of white high-heeled boots. During the trip to [[Industrial Illusions]], she wears a white jacket over a red tank top, a pleated yellow skirt, and tan boots and she also wears the same outfit at the KC Grand Championship.

In the 4th season, she wears a yellow jacket, blue shirt, short shorts, cyan socks and blue and white sneakers. In the 4th episode of said season, she wears a black tank top which slightly covers her belly button, navy short shorts with a gray belt, and yellow wristbands.

In ''[[Yu-Gi-Oh! Capsule Monsters]]'', her clothes consists of a dark pink jacket, light green shirt, with a beige and neck tie, an emerald-green skirt and brown boots.

","clothing and her Duelist Kingdom clothing a conventional, short hairstyle featured dark brown hair and amber eyes hair her hair her eyes Anzu's hair Anzu's usual outfit the standard female Domino High School uniform a pink coat a white oxford shirt, a blue tie, and a blue pleated skirt though she does not stick to any usual casual outfit and wears several throughout the series her hair and eyes school uniform her coat her tie and skirt a light-green bikini brown hair and blue eyes the school uniform colored in the same manner as in the manga Her brown shoulder-length hair her usual outfit a yellow shirt, which flows like a skirt at her thighs, with a pink waistcoat over it, and a blue miniskirt brown knee-high boots the second and third season, her clothes consists of a light green sleeveless buttoned shirt with yellow collar, pink and blue bracelets, navy shorts with a light blue belt, white thigh-high socks, and blue strapped platform sandals. a yellow tank-top a red skirt on occasion in the second season another outfit: a yellow tube-top, red choker, light pink shorts, black thigh-high socks, red platform sandals, and a pink jacket a black sleeveless shirt that reveals her belly button, a red skirt and a pair of white high-heeled boots a white jacket over a red tank top, a pleated yellow skirt, and tan boots the same outfit at the KC Grand Championship a yellow jacket, blue shirt, short shorts, cyan socks and blue and white sneakers a black tank top which slightly covers her belly button, navy short shorts with a gray belt, and yellow wristbands her clothes a dark pink jacket, light green shirt, with a beige and neck tie, an emerald-green skirt and brown boots"
